pop,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
BH,2024,10,0.730000019073486,94.7699966430664,0,95.5,1.77999997138977,13.1300001144409,28.2800006866455
CC,2024,10,6.98000001907349,79.4199981689453,0,86.4000015258789,9.39999961853027,14.4899997711182,27.5400009155273
CP2,2024,10,3.14000010490417,69.3600006103516,0,72.5,27.3199996948242,5.51999998092651,16.5100002288818
CP3,2024,10,5.15000009536743,62.5499992370605,0,67.6999969482422,26.3400001525879,4.48000001907349,15.8199996948242
DPR,2024,10,26.25,52.5499992370605,0,78.8000030517578,15.3000001907349,12.710000038147,25.0300006866455
FR,2024,10,2.08999991416931,72.2099990844727,0,74.3000030517578,16.1800003051758,9.73999977111816,23.1700000762939
IH,2024,10,0,83.8000030517578,0,83.8000030517578,11.1400003433228,13.1800003051758,26.8299999237061
LV1,2024,10,6.67000007629395,56.5299987792969,0,63.2000007629395,35.2000007629395,-0.239999994635582,14.6300001144409
LV3,2024,10,6.48000001907349,48.2200012207031,0,54.7000007629395,35.6800003051758,-0.449999988079071,14.6499996185303
LVTR1,2024,10,2.48000001907349,56.2200012207031,0,58.7000007629395,36.3600006103516,-1,14.6099996566772
SC,2024,10,0.310000002384186,87.2900009155273,0,87.5999984741211,2.52999997138977,13.4099998474121,27.1800003051758
SQ1,2024,10,0,93.5,0,93.5,0.119999997317791,8.10999965667725,20.1100006103516
SQ2,2024,10,1.12999999523163,82.370002746582,0,83.5,0.360000014305115,6.75,19.8099994659424
SQ3,2024,10,0.8299999833107,81.1699981689453,0,82,0.639999985694885,3.97000002861023,17.8899993896484
TM2,2024,10,12.210000038147,74.7900009155273,0,87,10.2600002288818,14.6099996566772,26.7800006866455
WL1,2024,10,4.55000019073486,71.9499969482422,0,76.5,21.9899997711182,8.97999954223633,20.8500003814697
WL2,2024,10,1.63999998569489,77.3600006103516,0,79,27.3600006103516,6.76000022888184,18.0599994659424
WR,2024,10,0,70.6999969482422,0,70.6999969482422,18.1200008392334,11.3299999237061,23.3400001525879
WV,2024,10,9.90999984741211,62.3899993896484,0,72.3000030517578,10.3699998855591,7.51999998092651,23.5200004577637
