pop.id,rep,bed,column,bedrow,radius,plantedcol,bedcol,y_pos,x_pos,status,buffer,blockcolumn,blockrow,block,block.id,unique.ID,rack,label,colorblock
(BH) x (TM2 x BH),1,e,C,11,12.5,19,5,262.5,815.8012702,available,FALSE,3,8,H,H26,663,8,663,H
(BH) x (TM2 x BH),4,c,C,5,12.5,11,3,112.5,435.8012702,available,FALSE,3,2,A,A06,666,8,666,A
(BH) x (TM2 x BH),16,f,A,43,12.5,21,6,1062.5,962.5,available,FALSE,1,15,K,K49,678,8,678,K
(CC x TM2) x (WL2 x TM2),1,e,A,25,12.5,17,5,612.5,772.5,available,FALSE,1,5,I,I08,1429,16,1429,I
(CC x TM2) x (WL2 x TM2),2,d,D,39,12.5,16,4,975,647.4519053,available,FALSE,4,9,F,F34,1430,16,1430,F
(DPR x WL2) x (DPR x WL2),9,f,C,11,12.5,23,6,262.5,1005.80127,available,FALSE,3,8,J,J26,1440,16,1440,J
(DPR x WL2) x (SQ3 x WL2),8,i,B,14,12.5,34,9,350,1554.150635,available,FALSE,2,12,P,P50,686,8,686,P
(DPR x WL2) x (SQ3 x WL2),11,f,D,15,12.5,24,6,375,1027.451905,available,FALSE,4,12,J,J43,689,8,689,J
(DPR x WL2) x (SQ3 x WL2),12,e,A,16,12.5,17,5,387.5,772.5,available,FALSE,1,13,H,H42,690,8,690,H
(DPR x WL2) x (TM2 x WL2),3,g,A,16,12.5,25,7,387.5,1152.5,available,FALSE,1,13,L,L46,1445,16,1445,L
(DPR x WL2) x (TM2 x WL2),5,g,D,38,12.5,28,7,950,1217.451905,available,FALSE,4,14,N,N27,1447,16,1447,N
(DPR x WL2) x (TM2 x WL2),12,i,A,9,12.5,33,9,212.5,1532.5,available,FALSE,1,7,P,P30,1454,16,1454,P
(DPR x WL2) x (TM2 x WL2),14,g,B,22,12.5,26,7,550,1174.150635,available,FALSE,2,6,M,M20,1456,16,1456,M
(DPR x WL2) x (WV x WL2),1,e,C,4,12.5,19,5,87.5,815.8012702,available,FALSE,3,1,H,H01,1457,16,1457,H
(DPR x WL2) x (WV x WL2),3,c,B,24,12.5,10,3,600,414.1506351,available,FALSE,2,6,B,B18,1459,16,1459,B
(DPR x WL2) x (WV x WL2),4,f,D,45,12.5,24,6,1125,1027.451905,available,FALSE,4,15,L,L03,1460,16,1460,L
(DPR x WL2) x (WV x WL2),7,f,A,16,12.5,21,6,387.5,962.5,available,FALSE,1,13,J,J44,1463,16,1463,J
(DPR x WL2) x (WV x WL2),8,g,B,42,12.5,26,7,1050,1174.150635,available,FALSE,2,18,N,N38,1464,16,1464,N
(DPR x WL2) x (WV x WL2),13,d,C,29,12.5,15,4,712.5,625.8012702,available,FALSE,3,17,E,E56,1469,16,1469,E
(DPR x WL2) x (YO11 x WL2),4,c,B,20,12.5,10,3,500,414.1506351,available,FALSE,2,2,B,B04,698,8,698,B
(DPR x WL2) x (YO11 x WL2),6,e,A,7,12.5,17,5,162.5,772.5,available,FALSE,1,4,H,H10,700,8,700,H
(DPR x WL2) x (YO11 x WL2),10,d,D,23,12.5,16,4,575,647.4519053,available,FALSE,4,11,E,E36,704,8,704,E
(DPR x WL2) x (YO11 x WL2),12,g,B,41,12.5,26,7,1025,1174.150635,available,FALSE,2,17,N,N34,706,8,706,N
(DPR x WL2) x (YO11 x WL2),13,e,B,29,12.5,18,5,725,794.1506351,available,FALSE,2,9,I,I22,707,8,707,I
(DPR x WL2) x (YO11 x WL2),14,i,D,12,12.5,36,9,300,1597.451905,available,FALSE,4,10,P,P44,708,8,708,P
(DPR x WL2) x (YO11 x WL2),15,f,D,28,12.5,24,6,700,1027.451905,available,FALSE,4,10,K,K34,709,8,709,K
(DPR x WL2) x (YO11 x WL2),16,g,B,21,12.5,26,7,525,1174.150635,available,FALSE,2,5,M,M16,710,8,710,M
(DPR) x (DPR x WL2),1,c,C,29,12.5,11,3,712.5,435.8012702,available,FALSE,3,11,B,B35,711,8,711,B
(DPR) x (DPR x WL2),2,f,A,15,12.5,21,6,362.5,962.5,available,FALSE,1,12,J,J40,712,8,712,J
(DPR) x (DPR x WL2),3,d,A,38,12.5,13,4,937.5,582.5,available,FALSE,1,8,F,F27,713,8,713,F
(DPR) x (DPR x WL2),4,c,D,37,12.5,12,3,925,457.4519053,available,FALSE,4,2,C,C04,714,8,714,C
