bed ,row ,col ,unique.ID ,phen ,diam.mm ,num.flw ,date.collected ,long.fruit.cm ,total.branch ,overhd.diam ,overhd.perp ,survey.date ,survey.notes ,
A ,1,A ,buffer ,,,,,,,,,,,
A ,1,B ,buffer ,,,,,,,,,,,
A ,2,A ,551,P ,18.91,0,6/4/24,1,1,86.1,84,6/4/24,,
A ,2,B ,444,,,,,,,,,,,
A ,3,A ,1315,,,,,,,,,,,
A ,3,B ,1252,P ,19.38,2,6/4/24,5.5,2,132,90,4-Jun,,
A ,4,A ,107,,,,,,,,,,,
A ,4,B ,270,,,,,,,,,,,
A ,5,A ,765,,,,,,,,,,,
A ,5,B ,472,,,,,,,,,,,
A ,6,A ,1344,,,,,,,,,,,
A ,6,B ,1035,,,,,,,,,,,
A ,7,A ,622,P ,14.27,0,5/23/24,7.7,1,53.7,46.3,17-May,plant dry ,
A ,7,B ,119,,,,,,,,,,,
A ,8,A ,658,P ,15.87,0,5/23/24,7,1,119.8,81.1,17-May,,
A ,8,B ,684,,,,,,,,,,,
A ,9,A ,283,,,,,,,,,,,
A ,9,B ,516,,,,,,,,,,,
A ,10,A ,131,P ,7.04,0,5/23/24,5.8,1,35.8,28.5,17-May,growing under 643 ,
A ,10,B ,864,,,,,,,,,,,
A ,11,A ,643,P ,20.96,0,6/4/24,7.7,1,103,80,6/4/24,,
A ,11,B ,191,,,,,,,,,,,
A ,12,A ,720,P ,15.1,0,5/23/24,7.2,1,84,79,21-May,,
A ,12,B ,535,V ,4.6,0,6/28/24,NA ,1,14,9.5,28-Jun,,
A ,13,A ,1267,P ,10.38,0,6/14/14,7.4,1,51.5,47,6/4/24,,
A ,13,B ,1228,P ,16.61,0,5/23/24,7.6,1,76.8,54.1,17-May,,
A ,14,A ,1023,,,,,,,,,,,
A ,14,B ,1095,,,,,,,,,,,
A ,15,A ,1367,P ,16.86,9,5/28/24,10.5,1,76.4,97.5,21-May,nine flowers ,
A ,15,B ,344,,,,,,,,,,,
A ,16,A ,95,P ,2.71,0,6/14/24,7.9,1,32,10.8,6/24/24,counted 15 fruit,
A ,16,B ,380,,,,,,,,,,,
A ,17,A ,2002,P,13.99,3,5/28/24,9.8,1,73.5,95.2,5/21/24,,
A ,17,B ,32,P ,12.76,0,6/6/24,8.1,1,62,55,6-Jun,,
A ,18,A ,1060,P ,8.09,0,6/6/24,7.7,1,38,34,6-Jun,,
A ,18,B ,78,P ,11.29,5,6/6/24,8.6,1,52,44,3-May,counted 478 fruits,
A ,19,A ,167,,,,,,,,,,,
A ,19,B ,257,P ,5.11,0,6/6/24,7,1,29,24,6-Jun,,
A ,20,A ,849,,,,,,,,,,,
A ,20,B ,489,P ,8.22,0,6/28/24,6.8,3,60.5,56.5,6/28/24,,
A ,21,A ,403,P ,16.39,4,5/28/24,8.5,1,61.5,97,21-May,,
A ,21,B ,915,,,,,,,,,,,
A ,22,A ,1293,,,,,,,,,,,
A ,22,B ,227,P ,12.35,87,5/28/24,6.2,1,69.8,54.6,17-May,,
A ,23,A ,buffer ,,,,,,,,,,,
A ,23,B ,356,,,,,,,,,,,
A ,24,A ,679,,,,,,,,,,,
A ,24,B ,buffer ,,,,,,,,,,,
A ,25,A ,820,,,,,,,,,,,
