bed.block.order,final.order,AB.CD.order,column.order,block,bed,bed-row,bed-col,pop,mf,rep,pheno,diam.mm,height.cm,long.leaf.cm,num.flw,num.fruit,long.fruit.cm,total.branch,repro.branch,herbiv.y.n,death.date,survey.notes,planting.note
1,1,1,1,A,A,1,A,TM2,6,11,P,,,,,,,,,,,,
2,2,1,1,A,A,1,B,LVTR1,7,1,,,,,,,,,,  ,7/26/23,,
5,3,1,1,A,A,2,A,SQ2,6,14,,,,,,,,,,,7/26/23,,
6,4,1,1,A,A,2,B,YO8,8,3,,,,,,,,,,,7/26/23,,
9,5,1,1,A,A,3,A,CC,2,3,V,,,,,,,,,,,,
10,6,1,1,A,A,3,B,YO11,5,14,,,,,,,,,,,7/26/23,,
13,7,1,1,A,A,4,A,BH,6,3,,,,,,,,,,,7/26/23,,
14,8,1,1,A,A,4,B,DPR,4,8,,,,,,,,,,,7/26/23,,
17,9,1,1,A,A,5,A,CP2,5,1,V,,,,,,,,,,,,
18,10,1,1,A,A,5,B,LVTR1,3,12,,,,,,,,,,,7/26/23,,
21,11,1,1,A,A,6,A,CC,5,3,V,,,,,,,,,,,,
22,12,1,1,A,A,6,B,CC,3,3,V,,,,,,,,,,,,
25,13,1,1,A,A,7,A,WL1,2,8,,,,,,,,,,,8/9/23,,
26,14,1,1,A,A,7,B,IH,5,3,V,,,,,,,,,,,,
29,15,1,1,A,A,8,A,DPR,6,15,,,,,,,,,,,7/26/23,,
30,16,1,1,A,A,8,B,CP3,5,9,V,,,,,,,,,,,,
33,17,1,1,A,A,9,A,SC,6,3,,,,,,,,,,,8/9/23,,
34,18,1,1,A,A,9,B,SQ2,8,9,V,,,,,,,,,,,,
37,19,1,1,A,A,10,A,FR,4,2,,,,,,,,,,,7/26/23,,
38,20,1,1,A,A,10,B,CP2,3,1,,,,,,,,,,,7/26/23,,
41,21,1,1,A,A,11,A,YO8,2,12,,,,,,,,,,,7/26/23,,
42,22,1,1,A,A,11,B,LV3,7,9,,,,,,,,,,,7/26/23,,
45,23,1,1,A,A,12,A,YO7,5,11,,,,,,,,,,,7/26/23,,
46,24,1,1,A,A,12,B,TM2,7,20,,,,,,,,,,,8/2/23,,
49,25,1,1,A,A,13,A,YO7,7,12,,,,,,,,,,,8/9/23,,
50,26,1,1,A,A,13,B,YO8,1,12,,,,,,,,,,,7/26/23,,
53,27,1,1,A,A,14,A,WV,4,8,,,,,,,,,,,7/26/23,,
54,28,1,1,A,A,14,B,CP3,6,9,,,,,,,,,,,8/2/23,,
57,29,1,1,A,A,15,A,DPR,1,8,,,,,,,,,,,8/9/23,,
58,30,1,1,A,A,15,B,YO11,7,9,V,,,,,,,,,,,,
61,31,1,1,A,A,16,A,CP2,4,1,V,,,,,,,,,,,,
62,32,1,1,A,A,16,B,BH,3,3,V,,,,,,,,,,,,
65,33,1,1,A,A,17,A,BH,7,3,V,,,,,,,,,,,,
66,34,1,1,A,A,17,B,YO11,5,9,,,,,,,,,,,10/13/23,,
69,35,1,1,A,A,18,A,BH,4,3,V,,,,,,,,,,,,
70,36,1,1,A,A,18,B,LVTR1,8,17,,,,,,,,,,,10/13/23,,
73,37,1,1,A,A,19,A,SQ3,4,7,V,,,,,,,,,,,,
