bed.block.order,bed.order,status,block,loc,bed,row,col,pop,mf,rep,unique.ID,bud.date,flower.date,fruit.date,last.FL.date,last.FR.date,death.date,survey.notes
1,1,2023-TM2-fruit,NA,A_1_A,A,1,A,TM2,6,11,TM2_6_11, , , , , , ,TM2 fruiting from 2023
22,12,2023-survivor,NA,A_6_B,A,6,B,CC,3,3,CC_3_3, , , , , ,6/18/2024, 
62,32,2023-survivor,NA,A_16_B,A,16,B,BH,3,3,BH_3_3, , , , , ,6/18/2024,6/18/24 No tag
65,33,2023-survivor,NA,A_17_A,A,17,A,BH,7,3,BH_7_3,6/18/2024,7/2/2024,7/9/2024, , , , 
69,35,2023-survivor,NA,A_18_A,A,18,A,BH,4,3,BH_4_3,6/18/2024, , , , , ,6/18/24 No tag
93,47,2023-survivor,NA,A_24_A,A,24,A,WL2,7,9,WL2_7_9,6/18/2024,6/18/2024,7/2/2024, , , , 
126,64,2023-survivor,NA,A_32_B,A,32,B,IH,7,4,IH_7_4,6/18/2024,7/9/2024,7/16/2024, , , , 
137,69,2023-survivor,NA,A_35_A,A,35,A,SC,8,4,SC_8_4,6/18/2024,7/2/2024,7/16/2024, , , , 
141,71,2023-survivor,NA,A_36_A,A,36,A,BH,3,4,BH_3_4,6/18/2024,7/9/2024,7/16/2024, , , , 
154,78,2023-survivor,NA,A_39_B,A,39,B,WL2,7,10,WL2_7_10,6/18/2024,6/18/2024,7/2/2024, , , , 
169,85,2023-TM2-fruit,NA,A_43_A,A,43,A,TM2,6,1,TM2_6_1, , , , , , ,TM2 fruiting from 2023
178,90,2023-survivor,NA,A_45_B,A,45,B,IH,2,4,IH_2_4,7/2/2024,7/16/2024, , , , , 
190,96,2023-survivor,NA,A_49_A,A,49,A,YO7,7,23,YO7_7_23,6/18/2024,6/18/2024,7/9/2024, , , , 
206,104,2023-survivor,NA,A_53_A,A,53,A,CC,4,4,CC_4_4,6/18/2024,7/2/2024, , , , , 
213,107,2023-survivor,NA,A_53_B,A,53,B,BH,7,4,BH_7_4,6/25/2024,7/9/2024,7/16/2024, , , , 
225,113,2023-TM2-fruit,NA,A_56_B,A,56,B,TM2,2,12,TM2_2_12, , , , , , ,TM2 fruiting from 2023
55,147,2023-survivor,NA,A_14_D,A,14,D,CC,8,3,CC_8_3,6/18/2024, , , , ,7/9/2024,6/25/24 snapped off / 7/12 resprouting
56,148,2023-survivor,NA,A_15_C,A,15,C,CC,1,3,CC_1_3,6/18/2024,7/9/2024,7/16/2024, , , , 
67,153,2023-survivor,NA,A_17_D,A,17,D,BH,2,3,BH_2_3,6/18/2024,7/2/2024,7/9/2024, , , , 
87,163,2023-survivor,NA,A_22_D,A,22,D,SC,8,3,SC_8_3,6/18/2024,7/9/2024, , , , ,7/16 some buds dying
91,165,2023-TM2-fruit,NA,A_23_D,A,23,D,TM2,3,3,TM2_3_3, , , , , , ,TM2 fruiting from 2023
140,190,2023-survivor,NA,A_36_C,A,36,C,SC,2,4,SC_2_4,6/18/2024,7/2/2024,7/9/2024, , , , 
172,206,2023-TM2-fruit,NA,A_44_C,A,44,C,TM2,6,3,TM2_6_3, , , , , , ,TM2 fruiting from 2023 / 3 small rosettes nearby
179,209,2023-survivor,NA,A_45_D,A,45,D,SC,4,4,SC_4_4,6/18/2024,7/2/2024,7/16/2024, , , , 
184,212,2023-survivor,NA,A_46_D,A,46,D,SQ1,5,10,SQ1_5_10,6/25/2024, , , , , ,7/16 sone buds look deformed or damaged
200,220,2023-survivor,NA,A_50_D,A,50,D,IH,6,4,IH_6_4,7/9/2024,7/16/2024, , , , , 
219,229,2023-survivor,NA,A_56_C,A,56,C,IH,1,4,IH_1_4,6/25/2024, , , , , ,7/16 some buds look deformed or damaged
232,236,2023-survivor,NA,A_58_D,A,58,D,YO7,7,13,YO7_7_13,6/18/2024,6/18/2024,7/2/2024, , , , 
322,281,2023-survivor,NA,B_22_A,B,22,A,IH,3,5,IH_3_5,6/18/2024,7/9/2024, , , , , 
334,287,2023-survivor,NA,B_25_A,B,25,A,IH,6,5,IH_6_5,6/18/2024,7/9/2024,7/16/2024, , , , 
382,311,2023-TM2-fruit,NA,B_37_A,B,37,A,TM2,1,16,TM2_1_16, , , , , , ,TM2 fruiting from 2023
402,321,2023-survivor,NA,B_42_A,B,42,A,BH,2,5,BH_2_5,6/18/2024,7/2/2024,7/9/2024, , , , 
406,323,2023-survivor,NA,B_43_A,B,43,A,BH,5,5,BH_5_5,6/18/2024,7/2/2024,7/9/2024, , , , 
458,349,2023-survivor,NA,B_56_A,B,56,A,SC,6,15,SC_6_15, ,7/9/2024, , , , ,marked as budding without date
462,351,2023-survivor,NA,B_57_A,B,57,A,IH,4,4,IH_4_4, , , , , ,6/18/2024, 
312,396,2023-survivor,NA,B_19_D,B,19,D,CC,2,6,CC_2_6,6/18/2024,7/2/2024,7/16/2024, , , ,6/25/24 some buds being eaten
339,409,2023-survivor,NA,B_26_C,B,26,C,IH,5,5,IH_5_5, , , , , ,6/18/2024, 
347,413,2023-survivor,NA,B_28_C,B,28,C,BH,4,5,BH_4_5,6/18/2024,7/2/2024,7/9/2024, , , , 
380,430,2023-TM2-fruit,NA,B_36_D,B,36,D,TM2,1,4,TM2_1_4, , , , , , ,TM2 fruiting from 2023
408,444,2023-TM2-fruit,NA,B_43_D,B,43,D,TM2,7,10,TM2_7_10, , , , , , ,TM2 fruiting from 2023
415,447,2023-survivor,NA,B_45_C,B,45,C,WL2,1,11,WL2_1_11,6/18/2024,6/18/2024,7/16/2024, , , , 
423,451,2023-survivor,NA,B_47_C,B,47,C,YO7,4,6,YO7_4_6,6/18/2024,7/9/2024,7/16/2024, , , , 
459,469,2023-survivor,NA,B_56_C,B,56,C,TM2,1,3,TM2_1_3,7/9/2024,7/16/2024, , , , ,
464,472,2023-survivor,NA,B_57_D,B,57,D,BH,2,4,BH_2_4,6/18/2024,7/2/2024,7/16/2024, , , ,6/18/24 No tag
685,479,buffer,A,C_1_A,C,1,A,NA,NA,NA,buffer, , , , , , , 
686,480,buffer,A,C_1_B,C,1,B,NA,NA,NA,buffer, , , , , , , 
687,481,buffer,A,C_2_A,C,2,A,NA,NA,NA,buffer, , , , , , , 
688,482,buffer,A,C_2_B,C,2,B,NA,NA,NA,buffer, , , , , , , 
689,483,buffer,A,C_3_A,C,3,A,NA,NA,NA,buffer, , , , , , , 
690,484,buffer,A,C_3_B,C,3,B,NA,NA,NA,buffer, , , , , , , 
490,485,available,A,C_4_A,C,4,A,(WV x WL2) x (WV),NA,13,280, , , , , ,7/2/2024,6/25/24 wilting
491,486,available,A,C_4_B,C,4,B,(LV1 x WL2) x (TM2 x WL2),NA,7,949, , , , , , ,7/9/24 wilting
492,487,available,A,C_5_A,C,5,A,TM2,NA,70,540, , , , , ,7/2/2024,6/18/24 wilting
493,488,available,A,C_5_B,C,5,B,(TM2 x WL2) x (SQ3 x WL2),NA,13,317, , , , , , , 
695,489,2023-survivor,NA,C_6_A,C,6,A,CC,1,6,CC_1_6,6/18/2024, , , , ,7/16/2024,7/2/24 dying
494,490,available,A,C_6_B,C,6,B,(WL2 x BH) x (SQ3 x WL2),NA,14,1175, , , , , ,7/9/2024,7/16 red pick/ no date assumed 7/9
495,491,available,A,C_7_A,C,7,A,(TM2 x WL2) x (TM2 x WL2),NA,10,1091, , , , , ,7/2/2024, 
496,492,available,A,C_7_B,C,7,B,(LV1 x WL2) x (WL2 x DPR),NA,13,968, , , , , ,7/2/2024,6/25/24 wilting
497,493,available,A,C_8_A,C,8,A,(WL1 x WL2) x (BH x WL2),NA,2,333, , , , , ,7/16/2024, 
498,494,available,A,C_8_B,C,8,B,(TM2 x WL2) x (YO11 x WL2),NA,2,374, , , , , ,7/2/2024,6/25/24 wilting
499,495,available,A,C_9_B,C,9,B,TM2,NA,51,521, , , , , ,7/2/2024, 
500,496,available,A,C_10_A,C,10,A,BH,NA,6,392, , , , , ,7/16/2024,7/2/24 dying
501,497,available,A,C_10_B,C,10,B,(WL1 x WL2) x (WL2 x TM2),NA,15,1160, , , , , ,7/2/2024,6/25/24 wilting
502,498,available,A,C_11_A,C,11,A,TM2,NA,9,479, , , , , ,6/25/2024,6/18/24 wilting
503,499,available,A,C_11_B,C,11,B,(WL2 x TM2) x (CC x TM2),NA,13,264, , , , , ,7/2/2024,6/25/24 wilting
504,500,available,A,C_12_A,C,12,A,WV x TM2,NA,7,199, , , , , ,7/2/2024,6/18/24 wilting
505,501,available,A,C_12_B,C,12,B,(WL2 x DPR) x (WL2),NA,5,1102, , , , , ,7/2/2024,6/25/24 wilting
506,502,available,A,C_13_A,C,13,A,(TM2 x WL2) x (TM2),NA,2,344, , , , , ,7/2/2024,6/18/24 top of stem wilting
507,503,available,A,C_13_B,C,13,B,(SQ3 x WL2) x (YO11 x WL2),NA,12,1511, , , , , ,6/25/2024, 
508,504,available,A,C_14_A,C,14,A,WL2,NA,3,98, , , , , ,6/25/2024, 
509,505,available,A,C_14_B,C,14,B,(SQ3 x WL2) x (SQ3 x WL2),NA,4,868, , , , , ,7/16/2024, 
510,506,available,A,C_15_A,C,15,A,WL2,NA,30,125, , , , , ,7/2/2024,6/25/24 wilting
511,507,available,A,C_15_B,C,15,B,(YO11 x WL2) x (SQ3 x WL2),NA,6,1007, , , , , ,7/16/2024, 
512,508,available,A,C_16_A,C,16,A,(WL1 x WL2) x (WL2 x CC),NA,6,1119, , , , , ,7/2/2024, 
513,509,available,A,C_16_B,C,16,B,WL2,NA,94,189, , , , , ,6/18/2024, 
514,510,available,A,C_17_A,C,17,A,(LV1 x WL2) x (WL2),NA,8,71, , , , , ,7/16/2024,7/9 wilted
515,511,available,A,C_17_B,C,17,B,TM2,NA,37,507, , , , , ,7/2/2024,6/25/24 wilting
