pop.id,mf,dame_mf,sire_mf,Rep,bed,row,col,status,Type,block_2025,block,Unique.ID
BH,13_2025,13,2025,8,C,6,A,available,Parent,,A,3515
(DPR X WL2) X WL2,5_2-A,5,2-A,,C,6,B,available,BC1,,A,3763
(WL1 X WL2) x WL2,,,,,C,7,B,available,,,A,3741
(WL2 X CC) X WL2,6_12,6,12,,C,8,A,available,BC1,,A,3726
(SQ3 x WL2) x (WL2),3_13-B,,,4,C,8,B,2025-survivor,,A,,2095
(WL2 x TM2) x (WL2 x BH),1_2,,,2,C,9,A,2025-survivor,,A,,2291
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,C,9,B,available,BC1,,A,3892
,,,,,C,10,A,out-of-bounds,,,,Rock
WL2,1_2025,1,2025,,C,10,B,available,Parent,,A,3810
(DPR X WL2) X WL2,16-Jul,,16-Jul,33,C,11,A,available,BC1,,A,3376
(WL2 X BH) X WL2,2_13-B,2,13-B,3,C,11,B,available,BC1,,A,3188
(WL2 X DPR) X WL2,4_13-B,4,13-B,,C,12,A,available,BC1,,A,3925
WV,5_2023,5,2023,,C,12,B,available,Parent,,A,3708
DPR,1_2025,1,2025,5,C,13,A,available,Parent,,A,3554
TM2,43_2025,43,2025,,C,13,B,available,Parent,,A,3783
(WL1 X WL2) x WL2,,,,,C,14,A,available,,,A,3756
CC,5_2025,5,2025,7,C,14,B,available,Parent,,A,3535
(WL2 X CC) X WL2,1_12,1,12,12,C,15,A,available,BC1,,A,3427
(CC X WL2) X WL2,4_3,4,3,,C,15,B,available,BC1,,A,3873
(WV X WL2) X WL2,,,,10,C,16,A,available,BC1,,A,3200
(WL1 X WL2) X WL2,10_12,10,12,26,C,16,B,available,BC1,,A,3319
(WL2 X TM2) X WL2,2_2-16,2,16-Feb,3,C,17,A,available,BC1,,A,3184
TM2,24_2025,24,2025,,C,17,B,available,Parent,,A,3794
BH,15_2025,15,2025,,C,18,A,available,Parent,,A,3690
,,,,,C,18,B,buffer,,,A,buffer
(WL2 X CC) X WL2,1_3,1,3,,C,19,A,available,BC1,,A,3943
(WL2 X CC) X WL2,1_3,1,3,47,C,19,B,available,BC1,,B,3462
YO11,5_2024,5,2024,7,C,20,A,available,Parent,,B,3069
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,C,20,B,available,BC1,,B,3900
(WL2 X CC) X WL2,1_3,1,3,36,C,21,A,available,BC1,,B,3451
WL2,4_2025,4,2025,,C,21,B,available,Parent,,B,3814
WL2,20_2025,20,2025,57,C,22,A,available,Parent,,B,3140
BH,13_2025,13,2025,,C,22,B,available,Parent,,B,3691
(WL2 X DPR) X WL2,3_13-B,3,13-B,,C,23,A,available,BC1,,B,3919
(WL2 X DPR) X WL2,3_13-B,3,13-B,6,C,23,B,available,BC1,,B,3274
(WL1 X WL2) x WL2,,,,,C,24,A,available,,,B,3761
(DPR X WL2) X WL2,5_2-A,5,2-A,1,C,24,B,available,BC1,,B,3344
(CC X WL2) X WL2,4_3,4,3,,C,25,A,available,BC1,,B,3867
(TM2 X WL2) X WL2,2_2 16,2,2 16,3,C,25,B,available,BC1,,B,3251
(WL1 X WL2) X WL2,10_12,10,12,28,C,26,A,available,BC1,,B,3321
(WL2 X WV) X WL2,1_7-16,1,16-Jul,17,C,26,B,available,BC1,,B,3246
(DPR X WL2) X WL2,5_12,5,12,,C,27,A,available,BC1,,B,3765
(WL2 X CC) X WL2,1_3,1,3,,C,27,B,available,BC1,,B,3944
(WL1 X WL2) X WL2,10_12,10,12,29,C,28,A,available,BC1,,B,3322
DPR,13_2022,13,2022,9,C,28,B,available,Parent,,B,3558
WV,5_2023,5,2023,,C,29,A,available,Parent,,B,3707
(WL1 X WL2) x WL2,,,,,C,30,A,available,,,B,3742
(WL2 X WL1) X WL2,3_12,3,12,25,C,30,B,available,BC1,,B,3410
,,,,,C,31,A,buffer,,,B,buffer
(WL2 X CC) X WL2,1_12,1,12,,C,31,B,available,BC1,,B,3729
(WL2 X WV) X WL2,1_7-16,1,16-Jul,18,C,32,A,available,BC1,,C,3247
(LV1 x WL2) x (WL2),6_16-A,,,3,C,32,B,2025-survivor,,B,,2442
WV,5_2023,5,2023,5,C,33,A,available,Parent,,C,3575
(DPR X WL2) X WL2,9_7-16,9,16-Jul,,C,33,B,available,BC1,,C,3826
(WL2 x BH) x (WL2 x CC),1_2,,,10,C,34,A,2025-survivor,,B,,2523
TM2,5,,,41,C,35,A,2025-survivor,,B,,1745
CC,8_2025,8,2025,5,C,35,B,available,Parent,,C,3533
LV1,6_2025,6,2025,,C,36,A,available,Parent,,C,3851
(DPR X WL2) X WL2,5_2-A,5,2-A,4,C,36,B,available,BC1,,C,3347
(WL2 X CC) X WL2,6_7-1,6,1-Jul,63,C,37,A,available,BC1,,C,3478
(WL2 X CC) X WL2,1_3,1,3,,C,37,B,available,BC1,,C,3932
WL2,27_2025,27,2025,41,C,38,A,available,Parent,,C,3124
TM2,35_2025,35,2025,52,C,38,B,available,Parent,,C,3643
(WV X WL2) X WL2,2_13-B,2,13-B,7,C,39,A,available,BC1,,C,3197
WL2,13_2025,13,2025,77,C,39,B,available,Parent,,C,3160
TM2,6_2025,6,2025,84,C,40,A,available,Parent,,C,3675
(WL2 X DPR) X WL2,3_13-B,3,13-B,8,C,40,B,available,BC1,,C,3276
DPR,15_2022,15,2022,10,C,41,A,available,Parent,,C,3559
(WL2 X CC) X WL2,1_12,1,12,15,C,41,B,available,BC1,,C,3430
(WL2 X DPR) X WL2,4_13-B,4,13-B,,C,42,A,available,BC1,,C,3924
TM2,32_2025,32,2025,,C,42,B,available,Parent,,C,3777
TM2,6,,,43,C,43,A,2025-survivor,,C,,1747
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,42,C,43,B,available,BC1,,C,3335
,,,,,C,44,A,buffer,,,C,buffer
(WL2 x BH) x (WL2 x CC),1_2,,,9,C,44,B,2025-survivor,,C,,2522
(WV x TM2) x (WL2 x TM2),3_1,,,2,C,45,A,2025-survivor,,C,,2558
(TM2) x (TM2 x WL2),2-1_2,,,1,C,45,B,2025-survivor,,C,,2169
(WL2 X WL1) x WL2,,,,,C,46,A,available,,,D,3722
(WL2) x (WL2 x TM2),3-14_2,,,13,C,46,B,2025-survivor,,C,,2328
WV,13_2023,13,2023,14,C,47,A,available,Parent,,D,3584
(CC X WL2) X WL2,4_7-6,4,6-Jul,16,C,47,B,available,BC1,,D,3228
(WL1 X WL2) x WL2,,,,,C,48,A,available,,,D,3750
(WL2 X WV) X WL2,1_7-16,1,16-Jul,19,C,48,B,available,BC1,,D,3248
(WL2 X WL1) X WL2,3_12,3,12,27,C,49,A,available,BC1,,D,3412
TM2,36_2025,36,2025,55,C,49,B,available,Parent,,D,3646
(DPR X WL2) X WL2,5_2-A,5,2-A,5,C,50,A,available,BC1,,D,3348
(WL2 X CC) X WL2,6_7-16,6,16-Jul,,C,50,B,available,BC1,,D,3725
BH,1,,,21,C,51,A,2025-survivor,,C,,1620
LV1,6_2025,6,2025,13,C,51,B,available,Parent,,D,3012
(WV) x (WV x WL2),3_22,,,2,C,52,A,2025-survivor,,C,,2579
(WV x WL2) x (WL2 x CC),3_1,,,9,C,52,B,2025-survivor,,C,,2361
(WL2 X WV) X WL2,,,,,C,53,A,available,BC1,,D,3888
WL2,27_2025,27,2025,,C,53,B,available,Parent,,D,3803
WL2,3_2025,3,2025,65,C,54,A,available,Parent,,D,3148
WL2,27_2025,27,2025,42,C,54,B,available,Parent,,D,3125
TM2,34_2025,34,2025,,C,55,A,available,Parent,,D,3778
(WL1 X WL2) X WL2,10_2-A,10,2-A,6,C,55,B,available,BC1,,D,3299
(WL2 X CC) X WL2,1_3,1,3,,C,56,A,available,BC1,,D,3949
(WL2 X DPR) X WL2,3_13-B,3,13-B,9,C,56,B,available,BC1,,D,3277
,,,,,C,57,A,buffer,,,D,buffer
(TM2) x (TM2 x WL2),2-1_2,,,5,C,57,B,2025-survivor,,D,,2173
,,,,,C,58,A,buffer,,,D,buffer
,,,,,C,58,B,buffer,,,D,buffer
(TM2 X WL2) X WL2,3_2,3,2,7,C,59,A,available,BC1,,E,3255
WL2,23_2025,23,2025,9,C,59,B,available,Parent,,E,3092
DPR x WL2,,,,1,C,6,C,2025-survivor,,A,,2476
(WL1 X WL2) X WL2,11_7-16,11,16-Jul,50,C,6,D,available,BC1,,A,3343
((WL2 X WL1) X WL2) X WL2),2_28-2,2,28-2,8,C,7,C,available,BC2,,A,3491
SQ3 x WL2,6-C_8-A,,,3,C,7,D,2025-survivor,,A,,2419
(WL2 X WL1) X WL2,3_12,3,12,24,C,8,C,available,BC1,,A,3409
(WL2 X WL1) x WL2,,,,,C,8,D,available,,,A,3829
(WL2 X CC) X WL2,1_3,1,3,,C,9,C,available,BC1,,A,3884
,,,,,C,9,D,out-of-bounds,,,,
(TM2 X WL2) X WL2,3_2-16,3,16-Feb,19,C,10,C,available,BC1,,A,3267
,,,,,C,10,D,out-of-bounds,,,,
WL2,27_2025,27,2025,43,C,11,D,available,Parent,,A,3126
(WL2 X DPR) X WL2,4_13-B,4,13-B,21,C,11,C,available,BC1,,A,3289
(WL2 X CC) X WL2,1_7-16,1,16-Jul,25,C,12,C,available,BC1,,A,3440
(WL2 x TM2) x (TM2),2_1-3,,,20,C,12,D,2025-survivor,,A,,2258
WL2,27_2025,27,2025,36,C,13,C,available,Parent,,A,3119
TM2,32_2025,32,2025,44,C,13,D,available,Parent,,A,3635
(WL2 X CC) X WL2,1_3,1,3,51,C,14,C,available,BC1,,A,3466
WL2,5,,,50,C,14,D,2025-survivor,,A,,1873
(WL2 X DPR) X WL2,3_13 -B,3,13 -B,4,C,15,C,available,BC1,,A,3272
TM2,41_2025,41,2025,70,C,15,D,available,Parent,,A,3661
WL2,18_2025,18,2025,96,C,16,C,available,Parent,,A,3179
(WL2 X WV) X WL2,1_7-16,1,16-Jul,14,C,16,D,available,BC1,,A,3243
TM2,3_2025,3,2025,6,C,17,C,available,Parent,,A,3597
(CC X WL2) X WL2,4_3,4,3,13,C,17,D,available,BC1,,A,3225
,,,,,C,18,C,buffer,,,A,buffer
(CC X WL2) X WL2,4_7-6,4,6-Jul,14,C,18,D,available,BC1,,B,3226
(WV X WL2) X WL2,2_13-B,2,13-B,,C,19,C,available,BC1,,B,3860
TM2,6_2025,6,2025,82,C,19,D,available,Parent,,B,3673
WL2,27_2025,27,2025,39,C,20,C,available,Parent,,B,3122
TM2,8_2025,8,2025,,C,20,D,available,Parent,,B,3788
(WL2 x WV) x (CC x WL2),1_1,,,8,C,21,C,2025-survivor,,B,,2303
TM2,2_2025,2,2025,7,C,21,D,available,Parent,,B,3598
(WL2 X CC) X WL2,1_12,1,12,13,C,22,C,available,BC1,,B,3428
(WL1 X WL2) X WL2,10_2-12,10,12-Feb,,C,22,D,available,BC1,,B,3958
WL1,8,,,5,C,23,C,2025-survivor,,B,,2405
WL2,8_2025,8,2025,,C,23,D,available,Parent,,B,3797
(WL2 X WL1) x WL2,,,,,C,24,C,available,,,B,3719
(WL2 X BH) X WL2,2_13-B,2,13-B,,C,24,D,available,BC1,,B,3822
TM2,35_2025,35,2025,54,C,25,C,available,Parent,,B,3645
TM2,36_2025,36,2025,,C,25,D,available,Parent,,B,3781
(WL2 X DPR) X WL2,4_13-B,4,13-B,,C,26,C,available,BC1,,B,3931
,,,,,C,27,C,out-of-bounds,,,,
,,,,,C,27,D,out-of-bounds,,,,
,,,,,C,28,C,out-of-bounds,,,,
,,,,,C,28,D,out-of-bounds,,,,
BH,13_2025,13,2025,9,C,29,C,available,Parent,,B,3516
(WL2 X CC) X WL2,1_3,1,3,,C,29,D,available,BC1,,B,3948
,,,,,C,30,C,buffer,,,B,buffer
,,,,,C,30,D,buffer,,,B,buffer
,,,,,C,31,C,buffer,,,B,buffer
(WL2 X DPR) X WL2,4_13-B,4,13-B,24,C,31,D,available,BC1,,C,3292
TM2,2_2025,2,2025,9,C,32,C,available,Parent,,C,3600
TM2,25_2025,25,2025,,C,32,D,available,Parent,,C,3789
(WL2 X CC) X WL2,1_7-16,1,16-Jul,,C,33,C,available,BC1,,C,3848
WL2,18_2025,18,2025,,C,33,D,available,Parent,,C,3818
BH,12_2025,12,2025,10,C,34,C,available,Parent,,C,3517
(WL1 X WL2) x WL2,,,,,C,34,D,available,,,C,3751
(WV x WL2) x (WL2 x CC),3_1,,,10,C,35,C,2025-survivor,,B,,2471
BH,12_2025,12,2025,,C,35,D,available,Parent,,C,3692
(WL2 X CC) X WL2,1_12,1,12,,C,36,C,available,BC1,,C,3728
(WL2 X CC) X WL2,1_7-16,1,16-Jul,24,C,36,D,available,BC1,,C,3439
(WL2 X WV) X WL2,1_7-16,1,16-Jul,,C,37,C,available,BC1,,C,3897
(WL2 X WL1) X WL2,3_12,3,12,,C,37,D,available,BC1,,C,3718
(WL1 X WL2) x WL2,,,,,C,38,C,available,,,C,3743
(CC X WL2) X WL2,4_3,4,3,,C,38,D,available,BC1,,C,3866
WL2,23_2025,23,2025,,C,39,C,available,Parent,,C,3808
WL2,25_2025,25,2025,,C,40,C,available,Parent,,C,3795
(WL2 X WL1) X WL2,3_12,3,12,26,C,40,D,available,BC1,,C,3411
(WL1 X WL2) X WL2,10_2-A,10,2-A,5,C,41,C,available,BC1,,C,3298
(CC X WL2) X WL2,4_7-6,4,6-Jul,15,C,41,D,available,BC1,,C,3227
(TM2 X WL2) X WL2,3_2-A,3,2-A,17,C,42,C,available,BC1,,C,3265
(WL2 x WV) x (CC x WL2),1_1,,,8,C,42,D,2025-survivor,,C,,2554
,,,,,C,43,C,buffer,,,C,buffer
,,,,,C,43,D,buffer,,,C,buffer
CC,4_2025,4,2025,16,C,44,C,available,Parent,,D,3544
BH,12_2025,12,2025,12,C,44,D,available,Parent,,D,3519
(WL1 X WL2) X WL2,10_2-A,10,2-A,40,C,45,C,available,BC1,,D,3333
(WL2 X DPR) X WL2,3_13 -B,3,13 -B,,C,45,D,available,BC1,,D,3910
,,,,,C,46,C,out-of-bounds,,,,
(CC X WL2) X WL2,4_3,4,3,,C,46,D,available,BC1,,D,3868
(TM2 X WL2) X WL2,3_2,3,2,,C,47,D,available,BC1,,D,3904
(WL1 X WL2) x WL2,,,,,C,48,C,available,,,D,3744
WL2,9_2025,9,2025,,C,48,D,available,Parent,,D,3798
(WL2 X CC) X WL2,1_12,1,12,19,C,49,C,available,BC1,,D,3434
(WL2 X CC) X WL2,1_7-16,1,16-Jul,32,C,49,D,available,BC1,,D,3447
SQ3,1_2023,1,2023,2,C,50,C,available,Parent,,D,3022
(WL2 X CC) X WL2,1_3,1,3,44,C,50,D,available,BC1,,D,3459
(WL2 X DPR) X WL2,4_13-B,4,13-B,,C,51,C,available,BC1,,D,3926
(WL2 X CC) X WL2,1_3,1,3,,C,51,D,available,BC1,,D,3939
(DPR X WL2) X WL2,7,7,,,C,52,D,available,BC1,,D,3769
