parent.pop,elevation.group,elev_m,Lat,Long,timeframe,Season,Year,Gowers_Dist,conf.low,conf.high,UCD_Lat,UCD_Long,Geographic_Dist
BH,low,511.4294422,37.40985,-119.96458,Recent,Water Year,2024,0.17445753443011996,0.1452972023540353,0.1957211185519606,38.5325,-121.78299,202680.49735648264
CC,low,313,39.58597,-121.43311,Recent,Water Year,2024,0.21507718590075828,0.184625203975094,0.23120166733757933,38.5325,-121.78299,121108.38274097505
TM2,low,379.1526973,39.59255,-121.55072,Recent,Water Year,2024,0.2511467939230818,0.21667547528519654,0.2708384408447159,38.5325,-121.78299,119699.70344732398
DPR,mid,1018.591893,39.22846,-120.81518,Recent,Water Year,2024,0.43219632014385717,0.40113865534136034,0.4646520484725913,38.5325,-121.78299,114174.0654378386
WV,mid,748.8570558,40.74084,-123.00364,Recent,Water Year,2024,0.4362591155539751,0.4111498833317649,0.47105560356563486,38.5325,-121.78299,267168.4368604006
WL1,mid,1613.837245,38.78608,-120.2143,Recent,Water Year,2024,0.4756663161599538,0.44314335365055385,0.5149701247896595,38.5325,-121.78299,139250.02589633744
SQ3,high,2373.170732,36.72109,-118.84933,Recent,Water Year,2024,0.5409865619456448,0.4935084526810629,0.5800168485883783,38.5325,-121.78299,327930.53850282234
WL2,high,2020.115818,38.8263,-120.25242,Recent,Water Year,2024,0.5901911739679399,0.5630919401674186,0.6267734679262649,38.5325,-121.78299,136969.86247654574
YO11,high,2872.295032,37.93844,-119.23157,Recent,Water Year,2024,0.6734521722827923,0.6423870087506756,0.7201667278607982,38.5325,-121.78299,232678.02742016327
LV1,high,2593.416641,40.47471,-121.50486,Recent,Water Year,2024,0.8114797943824216,0.7828543727523374,0.861257329221649,38.5325,-121.78299,217521.240415585
BH,low,511.4294422,37.40985,-119.96458,Historic,Water Year,2024,0.19272539404745107,0.16383354710721867,0.2166576938767579,38.5325,-121.78299,202680.49735648264
CC,low,313,39.58597,-121.43311,Historic,Water Year,2024,0.23402659632717443,0.21188029446297837,0.26128311956512956,38.5325,-121.78299,121108.38274097505
TM2,low,379.1526973,39.59255,-121.55072,Historic,Water Year,2024,0.274757121746633,0.25215387103909936,0.30425086802885537,38.5325,-121.78299,119699.70344732398
DPR,mid,1018.591893,39.22846,-120.81518,Historic,Water Year,2024,0.42978520853964725,0.4067558943279971,0.46285099714808986,38.5325,-121.78299,114174.0654378386
WL1,mid,1613.837245,38.78608,-120.2143,Historic,Water Year,2024,0.4629875115464421,0.4380118132002676,0.49640362604993693,38.5325,-121.78299,139250.02589633744
WV,mid,748.8570558,40.74084,-123.00364,Historic,Water Year,2024,0.4694411044376497,0.4452251677902918,0.5033220070084716,38.5325,-121.78299,267168.4368604006
SQ3,high,2373.170732,36.72109,-118.84933,Historic,Water Year,2024,0.5656087209329818,0.5317050472713151,0.6076439425679624,38.5325,-121.78299,327930.53850282234
WL2,high,2020.115818,38.8263,-120.25242,Historic,Water Year,2024,0.5708910566849725,0.5460192532739724,0.6028587846127976,38.5325,-121.78299,136969.86247654574
YO11,high,2872.295032,37.93844,-119.23157,Historic,Water Year,2024,0.6441312847360291,0.618571238462757,0.6752528614711762,38.5325,-121.78299,232678.02742016327
LV1,high,2593.416641,40.47471,-121.50486,Historic,Water Year,2024,0.7942669494399932,0.7643711702790512,0.8370277534610204,38.5325,-121.78299,217521.240415585
