parent.pop,elevation.group,elev_m,Lat,Long,timeframe,Season,Year,Gowers_Dist,conf.low,conf.high,WL2_Lat,WL2_Long,Geographic_Dist
WL2,high,2020.115818,38.8263,-120.25242,Recent,Water Year,2025,0.17803598115772157,0.13338002152886952,0.20803545625905256,38.82599,-120.2509,136.2621716836303
SQ3,high,2373.170732,36.72109,-118.84933,Recent,Water Year,2025,0.24053027714858566,0.1955483716544338,0.2783180958728053,38.82599,-120.2509,264779.79412553
WL1,mid,1613.837245,38.78608,-120.2143,Recent,Water Year,2025,0.2553629091022369,0.21439704415783742,0.28954929558661596,38.82599,-120.2509,5460.644397173772
LV1,high,2593.416641,40.47471,-121.50486,Recent,Water Year,2025,0.3450482971631672,0.29650083309165526,0.38159224001214503,38.82599,-120.2509,212682.4805822545
YO11,high,2872.295032,37.93844,-119.23157,Recent,Water Year,2025,0.3563854415771581,0.30362389199425316,0.37721318688772293,38.82599,-120.2509,132940.11264834137
DPR,mid,1018.591893,39.22846,-120.81518,Recent,Water Year,2025,0.362861507718652,0.334426265080145,0.3883196525128479,38.82599,-120.2509,66245.65466431515
WV,mid,748.8570558,40.74084,-123.00364,Recent,Water Year,2025,0.40579532322413464,0.3640844335964012,0.4474867867640948,38.82599,-120.2509,317600.3795559114
TM2,low,379.1526973,39.59255,-121.55072,Recent,Water Year,2025,0.46613684538465505,0.4255130878681407,0.5175099236300211,38.82599,-120.2509,140893.43148019144
CC,low,313,39.58597,-121.43311,Recent,Water Year,2025,0.514777088665639,0.4811513075925767,0.5597145169193961,38.82599,-120.2509,132498.41828627142
BH,low,511.4294422,37.40985,-119.96458,Recent,Water Year,2025,0.6355395223987761,0.5981049262491093,0.6854588471589497,38.82599,-120.2509,159625.59620443787
WL2,high,2020.115818,38.8263,-120.25242,Historic,Water Year,2025,0.22893321137850145,0.19410142000769026,0.2648066950622423,38.82599,-120.2509,136.2621716836303
SQ3,high,2373.170732,36.72109,-118.84933,Historic,Water Year,2025,0.2543433100803707,0.21146663993677828,0.28823561742398685,38.82599,-120.2509,264779.79412553
WL1,mid,1613.837245,38.78608,-120.2143,Historic,Water Year,2025,0.2815285970139596,0.24074982808168838,0.3272809453993168,38.82599,-120.2509,5460.644397173772
DPR,mid,1018.591893,39.22846,-120.81518,Historic,Water Year,2025,0.35485951630549806,0.3262035826776071,0.38234290113698755,38.82599,-120.2509,66245.65466431515
WV,mid,748.8570558,40.74084,-123.00364,Historic,Water Year,2025,0.39392159745722105,0.35193429800257037,0.4439011902063449,38.82599,-120.2509,317600.3795559114
TM2,low,379.1526973,39.59255,-121.55072,Historic,Water Year,2025,0.42858292535674086,0.387224341247145,0.4652959716736579,38.82599,-120.2509,140893.43148019144
LV1,high,2593.416641,40.47471,-121.50486,Historic,Water Year,2025,0.4525683321639109,0.41585558451144267,0.4962712462235632,38.82599,-120.2509,212682.4805822545
YO11,high,2872.295032,37.93844,-119.23157,Historic,Water Year,2025,0.4671929206579786,0.4273152581700506,0.5178999337210334,38.82599,-120.2509,132940.11264834137
CC,low,313,39.58597,-121.43311,Historic,Water Year,2025,0.47106876682037596,0.4337400390975622,0.5041938192755292,38.82599,-120.2509,132498.41828627142
BH,low,511.4294422,37.40985,-119.96458,Historic,Water Year,2025,0.5514544368444246,0.5013986080187509,0.57412515036607,38.82599,-120.2509,159625.59620443787
