Plant.Type,pop.id,mf,rep,unique.ID,block,bed,row,col,UCD_Garden_2023,WL2_Garden_2023,WL2_Garden_2024,WL2_Garden_2025
Other_Parent,BH,6,1,212,A2,A,45,A,1,1,1,NA
Other_Parent,BH,6,2,213,C2,C,34,B,1,1,1,NA
Other_Parent,BH,6,3,214,F1,F,7,B,1,1,1,NA
Other_Parent,BH,7,1,215,A1,A,6,C,1,1,1,NA
Other_Parent,BH,7,2,216,B1,B,16,B,1,1,1,NA
Other_Parent,BH,7,3,217,B2,B,28,C,1,1,1,NA
Other_Parent,BH,3,1,203,A1,A,17,C,1,1,1,1
Other_Parent,BH,3,2,204,B1,B,13,B,1,1,1,1
Other_Parent,BH,3,3,205,B2,B,27,D,1,1,1,1
Other_Parent,BH,2,1,200,A2,A,31,C,1,1,1,NA
Other_Parent,BH,2,2,201,C2,C,45,C,1,1,1,NA
Other_Parent,BH,2,3,202,F1,F,18,A,1,1,1,NA
Other_Parent,BH,4,2,207,C1,C,21,B,1,1,1,NA
Other_Parent,BH,4,3,208,D2,D,27,A,1,1,1,NA
Other_Parent,BH,4,1,206,E1,E,21,A,1,1,1,NA
Other_Parent,BH,5,3,211,D1,D,6,C,1,1,1,NA
Other_Parent,BH,5,2,210,E2,E,34,B,1,1,1,NA
Other_Parent,BH,5,1,209,F2,F,29,D,1,1,1,NA
Other_Parent,BH,1,3,199,D1,D,20,D,1,1,1,1
Other_Parent,BH,1,2,198,E2,E,30,B,1,1,1,1
Other_Parent,BH,1,1,197,F2,F,45,A,1,1,1,1
Other_Parent,CC,7,1,257,A1,A,19,B,1,NA,1,NA
Other_Parent,CC,7,3,259,B1,B,2,A,1,NA,1,NA
Other_Parent,CC,5,1,251,A2,A,27,A,1,1,1,NA
Other_Parent,CC,5,3,253,C2,C,26,A,1,1,1,NA
Other_Parent,CC,1,1,239,A1,A,11,D,1,1,1,1
Other_Parent,CC,1,3,241,B1,B,19,D,1,1,1,1
Other_Parent,CC,2,1,242,B2,B,43,D,1,1,1,NA
Other_Parent,CC,2,3,244,C1,C,2,A,1,1,1,NA
Other_Parent,CC,2,2,243,E1,E,2,C,1,1,1,NA
Other_Parent,CC,3,1,245,D2,D,39,B,1,1,1,NA
Other_Parent,CC,3,2,246,F2,F,33,C,1,1,1,NA
Other_Parent,CC,4,2,249,D1,D,8,D,1,1,1,NA
Other_Parent,CC,4,1,248,E2,E,37,B,1,1,1,NA
Other_Parent,CC,6,1,254,F1,F,6,B,1,NA,1,NA
Other_Parent,DPR,4,1,227,A1,A,22,B,1,1,1,NA
Other_Parent,DPR,4,2,228,B1,B,6,B,1,1,1,NA
Other_Parent,DPR,4,3,229,B2,B,36,B,1,1,1,NA
Other_Parent,DPR,7,1,236,A2,A,27,C,1,1,1,NA
Other_Parent,DPR,7,2,237,C2,C,35,B,1,1,1,NA
Other_Parent,DPR,7,3,238,F1,F,14,C,1,1,1,NA
Other_Parent,DPR,3,1,224,A2,A,30,D,1,1,1,NA
Other_Parent,DPR,3,2,225,C2,C,29,A,1,1,1,NA
