filename,survey_date,bed,row,col,unique.ID,height.cm,long.leaf.cm,survey.notes,problems
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,13B,NA,611,17.4,7.2,NA,row column
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,14A,NA,519,3.3,3.1,NA,row column
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,14B,NA,463,8.3,4.9,NA,row column
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,15B,NA,158,6.8,4.5,NA,row column
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,18A,NA,435,11.6,6.8,NA,row column
UCD_size_survey_20240209_corrected.csv,2024-02-09,E,18B,NA,1050,5.2,3.2,NA,row column
UCD_size_survey_20240516_corrected.csv,2024-05-16,B,38B,NA,733,84.3,2.8,NA,row column
UCD_size_survey_20240516_corrected.csv,2024-05-16,NA,B9B,NA,685,71.2,3,NA,row column
UCD_size_survey_bedsDEF_20240412_corrected.csv,2024-04-12,E,i,D,buffer,NA,NA,NA,row column
UCD_size_survey_bedsDEF_20240412_corrected.csv,2024-04-12,E,14C,NA,1256,73,7.8,NA,row column
UCD_size_survey_bedsDEF_20240412_corrected.csv,2024-04-12,NA,E9D,NA,784,21.4,5.1,NA,row column
