pop.id,Plant Type,Collected,Not_Collected,PctCollected,bed,row,col,unique.ID,Reproductive?,,,pop.id,Plant Type,Collected,Not_Collected,PctCollected,bed,row,col,unique.ID,Reproductive?,Sorting
(YO11 x WL2) x WL2,F2,0,6,0,F,19,C,1312,reproductive!,,,WL2-1,Main_Parent,3,11,0.214285714,A,4,A,107,dead,1
BH x WL2,F1,1,13,0.071428571,F,30,A,386,reproductive!,,,TM2 x YO11,F1,9,2,0.818181818,A,5,A,765,reproductive!,1
(YO11 x WL2) x WL2,F2,0,6,0,A,3,A,1315,dead,,,DPR x WL2,F1,8,13,0.380952381,A,5,B,472,reproductive!,1
WV,Other_Parent,1,20,0.047619048,A,4,B,270,vegetative,,,(WV x WL2) x WV,F2,3,10,0.230769231,A,6,A,1344,dead,1
LV1,Other_Parent,0,10,0,A,9,A,283,dead,,,WL2-3,Main_Parent,4,10,0.285714286,A,7,B,119,dead,1
WL2 x WV,F1,1,7,0.125,A,9,D,952,vegetative,,,LV1 x WL2,F1,3,20,0.130434783,A,9,B,516,vegetative,1
WL2 x DPR,F1,1,8,0.111111111,A,10,B,864,missing,,,WV x (WV x WL2),F2,5,30,0.142857143,A,14,B,1095,vegetative,1
WL2-12,Main_Parent,0,14,0,A,11,B,191,dead,,,WL1,Other_Parent,4,17,0.19047619,A,15,B,344,dead,1
(LV1 x WL2) x (SQ3 x WL2),F2,1,1,0.5,A,12,D,1122,measured,,,WL2-10,Main_Parent,3,11,0.214285714,A,19,A,167,missing,1
YO11,Other_Parent,0,11,0,A,15,C,312,dead,,,WL1 x WL2,F1,3,21,0.125,A,20,A,849,missing,1
BH x WL2,F1,1,13,0.071428571,A,16,B,380,vegetative,,,WL1,Other_Parent,4,17,0.19047619,A,23,B,356,dead,1
WL2 x WL1,F1,0,9,0,A,21,B,915,vegetative,,,WL2 x CC,F1,3,2,0.6,A,25,A,820,reproductive!,1
SQ3,Other_Parent,1,3,0.25,A,26,D,333,harvested,,,WL2-9,Main_Parent,8,6,0.571428571,A,27,B,152,missing,1
WL2 x WV,F1,1,7,0.125,A,31,D,949,dead,,,WL1 x WL2,F1,3,21,0.125,A,28,A,846,missing,1
YO11,Other_Parent,0,11,0,A,35,B,304,dead,,,SQ3 x WL2,F1,2,9,0.181818182,A,30,B,600,dead,1
BH x WL2,F1,1,13,0.071428571,A,36,C,393,dead,,,(LV1 x WL2) x WL2,F2,4,24,0.142857143,A,32,B,1150,dead,1
BH x WL2,F1,1,13,0.071428571,A,38,B,369,vegetative,,,LV1 x WL2,F1,3,20,0.130434783,A,33,B,532,dead,1
WV,Other_Parent,1,20,0.047619048,A,41,A,279,vegetative,,,LV1 x WL2,F1,3,20,0.130434783,A,37,B,544,dead,1
WV,Other_Parent,1,20,0.047619048,A,41,C,267,vegetative,,,(WV x WL2) x WV,F2,3,10,0.230769231,A,38,A,1337,vegetative,1
WL2-12,Main_Parent,0,14,0,A,42,D,188,dead,,,WL1,Other_Parent,4,17,0.19047619,A,40,B,353,dead,1
WL2 x LV1,F1,0,1,0,A,43,B,899,dead,,,WL2-11,Main_Parent,2,12,0.142857143,A,41,B,176,dead,1
BH x WL2,F1,1,13,0.071428571,B,4,A,381,dead,,,WL2-8,Main_Parent,6,8,0.428571429,A,44,A,140,dead,1
WV,Other_Parent,1,20,0.047619048,B,5,A,271,dead,,,WL2-11,Main_Parent,2,12,0.142857143,A,3,C,179,dead,2
LV1,Other_Parent,0,10,0,B,5,D,284,dead,,,SQ3 x WL2,F1,2,9,0.181818182,A,10,D,576,missing,2
DPR x (DPR x WL2),F2,0,1,0,B,9,C,1128,dead,,,WL1 x WL2,F1,3,21,0.125,A,19,D,837,missing,2
WL2-12,Main_Parent,0,14,0,B,10,A,192,dead,,,(LV1 x WL2) x WL2,F2,4,24,0.142857143,A,21,D,1153,dead,2
WL2 x DPR,F1,1,8,0.111111111,B,10,D,866,dead,,,(LV1 x WL2) x WL2,F2,4,24,0.142857143,A,22,D,2026,vegetative,2
WL2 x WL1,F1,0,9,0,B,12,B,921,dead,,,WL2-3,Main_Parent,4,10,0.285714286,A,30,C,116,vegetative,2
WL2 x WV,F1,1,7,0.125,B,14,D,953,dead,,,WV x (WV x WL2),F2,5,30,0.142857143,A,32,D,1092,vegetative,2
