bed.block.order,final.order,AB.CD.order,column.order,status,block,bed,bedrow,bedcol,pop,mf,rep,unique.ID
1,1,1,1,2023-TM2-fruit,NA,A,1,A,TM2,6,11,TM2_6
22,12,1,1,2023-survivor,NA,A,6,B,CC,3,3,CC_3
62,32,1,1,2023-survivor,NA,A,16,B,BH,3,3,BH_3
65,33,1,1,2023-survivor,NA,A,17,A,BH,7,3,BH_7
69,35,1,1,2023-survivor,NA,A,18,A,BH,4,3,BH_4
93,47,1,1,2023-survivor,NA,A,24,A,WL2,7,9,WL2_7
126,64,1,1,2023-survivor,NA,A,32,B,IH,7,4,IH_7
137,69,1,1,2023-survivor,NA,A,35,A,SC,8,4,SC_8
141,71,1,1,2023-survivor,NA,A,36,A,BH,3,4,BH_3
154,78,1,1,2023-survivor,NA,A,39,B,WL2,7,10,WL2_7
169,85,1,1,2023-TM2-fruit,NA,A,43,A,TM2,6,1,TM2_6
178,90,1,1,2023-survivor,NA,A,45,B,IH,2,4,IH_2
190,96,1,1,2023-survivor,NA,A,49,A,YO7,7,23,YO7_7
206,104,1,1,2023-survivor,NA,A,53,A,CC,4,4,CC_4
213,107,1,1,2023-survivor,NA,A,53,B,BH,7,4,BH_7
225,113,1,1,2023-TM2-fruit,NA,A,56,B,TM2,2,12,TM2_2
55,147,2,2,2023-survivor,NA,A,14,D,CC,8,3,CC_8
56,148,2,2,2023-survivor,NA,A,15,C,CC,1,3,CC_1
67,153,2,2,2023-survivor,NA,A,17,D,BH,2,3,BH_2
87,163,2,2,2023-survivor,NA,A,22,D,SC,8,3,SC_8
91,165,2,2,2023-TM2-fruit,NA,A,23,D,TM2,3,3,TM2_3
140,190,2,2,2023-survivor,NA,A,36,C,SC,2,4,SC_2
172,206,2,2,2023-TM2-fruit,NA,A,44,C,TM2,6,3,TM2_6
179,209,2,2,2023-survivor,NA,A,45,D,SC,4,4,SC_4
184,212,2,2,2023-survivor,NA,A,46,D,SQ1,5,10,SQ1_5
200,220,2,2,2023-survivor,NA,A,50,D,IH,6,4,IH_6
219,229,2,2,2023-survivor,NA,A,56,C,IH,1,4,IH_1
232,236,2,2,2023-survivor,NA,A,58,D,YO7,7,13,YO7_7
322,281,3,1,2023-survivor,NA,B,22,A,IH,3,5,IH_3
334,287,3,1,2023-survivor,NA,B,25,A,IH,6,5,IH_6
382,311,3,1,2023-TM2-fruit,NA,B,37,A,TM2,1,16,TM2_1
402,321,3,1,2023-survivor,NA,B,42,A,BH,2,5,BH_2
406,323,3,1,2023-survivor,NA,B,43,A,BH,5,5,BH_5
458,349,3,1,2023-survivor,NA,B,56,A,SC,6,15,SC_6
462,351,3,1,2023-survivor,NA,B,57,A,IH,4,4,IH_4
312,396,4,2,2023-survivor,NA,B,19,D,CC,2,6,CC_2
339,409,4,2,2023-survivor,NA,B,26,C,IH,5,5,IH_5
347,413,4,2,2023-survivor,NA,B,28,C,BH,4,5,BH_4
380,430,4,2,2023-TM2-fruit,NA,B,36,D,TM2,1,4,TM2_1
408,444,4,2,2023-TM2-fruit,NA,B,43,D,TM2,7,10,TM2_7
415,447,4,2,2023-survivor,NA,B,45,C,WL2,1,11,WL2_1
423,451,4,2,2023-survivor,NA,B,47,C,YO7,4,6,YO7_4
459,469,4,2,2023-survivor,NA,B,56,C,TM2,1,3,TM2_1
464,472,4,2,2023-survivor,NA,B,57,D,BH,2,4,BH_2
478,479,5,1,buffer,NA,C,1,A,NA,NA,NA,NA
481,480,5,1,buffer,NA,C,1,B,NA,NA,NA,NA
482,481,5,1,buffer,NA,C,2,A,NA,NA,NA,NA
485,482,5,1,buffer,NA,C,2,B,NA,NA,NA,NA
486,483,5,1,buffer,NA,C,3,A,NA,NA,NA,NA
489,484,5,1,buffer,NA,C,3,B,NA,NA,NA,NA
490,485,5,1,available,A,C,4,A,(WV x WL2) x (WV),6,13,280
493,486,5,1,available,A,C,4,B,(LV1 x WL2) x (TM2 x WL2),2,7,949
494,487,5,1,available,A,C,5,A,TM2,5,70,540
497,488,5,1,available,A,C,5,B,(TM2 x WL2) x (SQ3 x WL2),3,13,317
498,489,5,1,2023-survivor,NA,C,6,A,CC,1,6,CC_1
501,490,5,1,available,A,C,6,B,(WL2 x BH) x (SQ3 x WL2),1,14,1175
502,491,5,1,available,A,C,7,A,(TM2 x WL2) x (TM2 x WL2),8,10,1091
505,492,5,1,available,A,C,7,B,(LV1 x WL2) x (WL2 x DPR),1,13,968
506,493,5,1,available,A,C,8,A,(WL1 x WL2) x (BH x WL2),4,2,333
509,494,5,1,available,A,C,8,B,(TM2 x WL2) x (YO11 x WL2),3,2,374
513,496,5,1,available,A,C,9,B,TM2,2,51,521
514,497,5,1,available,A,C,10,A,BH,2,6,392
517,498,5,1,available,A,C,10,B,(WL1 x WL2) x (WL2 x TM2),1,15,1160
518,499,5,1,available,A,C,11,A,TM2,8,9,479
521,500,5,1,available,A,C,11,B,(WL2 x TM2) x (CC x TM2),4,13,264
522,501,5,1,available,A,C,12,A,WV x TM2,1,7,199
525,502,5,1,available,A,C,12,B,(WL2 x DPR) x (WL2),3,5,1102
526,503,5,1,available,A,C,13,A,(TM2 x WL2) x (TM2),5,2,344
529,504,5,1,available,A,C,13,B,(SQ3 x WL2) x (YO11 x WL2),8,12,1511
530,505,5,1,available,A,C,14,A,WL2,7,3,98
533,506,5,1,available,A,C,14,B,(SQ3 x WL2) x (SQ3 x WL2),6,4,868
534,507,5,1,available,A,C,15,A,WL2,6,30,125
537,508,5,1,available,A,C,15,B,(YO11 x WL2) x (SQ3 x WL2),NA,6,1007
538,509,5,1,available,A,C,16,A,(WL1 x WL2) x (WL2 x CC),4,6,1119
541,510,5,1,available,A,C,16,B,WL2,2,94,189
542,511,5,1,available,A,C,17,A,(LV1 x WL2) x (WL2),buffer,8,71
545,512,5,1,available,A,C,17,B,TM2,NA,37,507
546,513,5,1,available,A,C,18,A,(TM2 x BH) x (TM2 x BH),buffer,2,1336
549,514,5,1,available,A,C,18,B,(LV1 x WL2) x (SQ3 x WL2),buffer,9,980
550,515,5,1,available,A,C,19,A,IH,7,7,IH_7
553,516,5,1,available,A,C,19,B,LV3,5,3,LV3_5
554,517,5,1,available,B,C,20,A,CC,5,6,413
557,518,5,1,available,B,C,20,B,(DPR x WL2) x (YO11 x WL2),5,4,698
558,519,5,1,available,B,C,21,A,WV x TM2,3,22,215
561,520,5,1,available,B,C,21,B,BH,1,21,407
562,521,5,1,available,B,C,22,A,TM2,3,62,532
565,522,5,1,2023-survivor,NA,C,22,B,BH,6,7,BH_6
566,523,5,1,available,B,C,23,A,WV,3,20,469
569,524,5,1,available,B,C,23,B,WL2,1,23,118
570,525,5,1,available,B,C,24,A,(WV x WL2) x (WV),7,14,281
573,526,5,1,available,B,C,24,B,(DPR x WL2) x (WV x WL2),1,3,1459
574,527,5,1,available,B,C,25,A,LV1 x WL2,1,25,1275
577,528,5,1,available,B,C,25,B,(LV1 x WL2) x (WL2),4,9,72
578,529,5,1,available,B,C,26,A,TM2,5,24,494
581,530,5,1,available,B,C,26,B,WL2,2,59,154
