loc,bed,row,col,unique.ID,Pop.Type,pop,rep,Establishment,Y1Surv,WintSurv,SurvtoBud,num.fruit,ProbFruit,TotalFitness
C_4_A,C,4,A,280,F2,(WV x WL2) x (WV),13,0,NA,NA,NA,NA,0,0
C_4_B,C,4,B,949,F2,(LV1 x WL2) x (TM2 x WL2),7,1,0,NA,NA,NA,0,0
C_5_A,C,5,A,540,Parent,TM2,70,0,NA,NA,NA,NA,0,0
C_5_B,C,5,B,317,F2,(TM2 x WL2) x (SQ3 x WL2),13,1,1,0,NA,NA,0,0
C_6_B,C,6,B,1175,F2,(WL2 x BH) x (SQ3 x WL2),14,1,0,NA,NA,NA,0,0
C_7_A,C,7,A,1091,F2,(TM2 x WL2) x (TM2 x WL2),10,0,NA,NA,NA,NA,0,0
C_7_B,C,7,B,968,F2,(LV1 x WL2) x (WL2 x DPR),13,0,NA,NA,NA,NA,0,0
C_8_A,C,8,A,333,F2,(WL1 x WL2) x (BH x WL2),2,1,0,NA,NA,NA,0,0
C_8_B,C,8,B,374,F2,(TM2 x WL2) x (YO11 x WL2),2,0,NA,NA,NA,NA,0,0
C_9_B,C,9,B,521,Parent,TM2,51,0,NA,NA,NA,NA,0,0
C_10_A,C,10,A,392,Parent,BH,6,1,0,NA,NA,NA,0,0
C_10_B,C,10,B,1160,F2,(WL1 x WL2) x (WL2 x TM2),15,0,NA,NA,NA,NA,0,0
C_11_A,C,11,A,479,Parent,TM2,9,0,NA,NA,NA,NA,0,0
C_11_B,C,11,B,264,F2,(WL2 x TM2) x (CC x TM2),13,0,NA,NA,NA,NA,0,0
C_12_A,C,12,A,199,F1,WV x TM2,7,0,NA,NA,NA,NA,0,0
C_12_B,C,12,B,1102,F2,(WL2 x DPR) x (WL2),5,0,NA,NA,NA,NA,0,0
C_13_A,C,13,A,344,F2,(TM2 x WL2) x (TM2),2,0,NA,NA,NA,NA,0,0
C_13_B,C,13,B,1511,F2,(SQ3 x WL2) x (YO11 x WL2),12,0,NA,NA,NA,NA,0,0
C_14_A,C,14,A,98,Parent,WL2,3,0,NA,NA,NA,NA,0,0
C_14_B,C,14,B,868,F2,(SQ3 x WL2) x (SQ3 x WL2),4,1,0,NA,NA,NA,0,0
C_15_A,C,15,A,125,Parent,WL2,30,0,NA,NA,NA,NA,0,0
C_15_B,C,15,B,1007,F2,(YO11 x WL2) x (SQ3 x WL2),6,1,0,NA,NA,NA,0,0
C_16_A,C,16,A,1119,F2,(WL1 x WL2) x (WL2 x CC),6,0,NA,NA,NA,NA,0,0
C_16_B,C,16,B,189,Parent,WL2,94,0,NA,NA,NA,NA,0,0
C_17_A,C,17,A,71,F2,(LV1 x WL2) x (WL2),8,1,0,NA,NA,NA,0,0
C_17_B,C,17,B,507,Parent,TM2,37,0,NA,NA,NA,NA,0,0
C_18_A,C,18,A,1336,F2,(TM2 x BH) x (TM2 x BH),2,1,0,NA,NA,NA,0,0
C_18_B,C,18,B,980,F2,(LV1 x WL2) x (SQ3 x WL2),9,0,NA,NA,NA,NA,0,0
C_20_A,C,20,A,413,Parent,CC,6,1,0,NA,NA,NA,0,0
C_20_B,C,20,B,698,F2,(DPR x WL2) x (YO11 x WL2),4,1,1,1,1,30,1,30
C_21_A,C,21,A,215,F1,WV x TM2,22,1,0,NA,NA,NA,0,0
C_21_B,C,21,B,407,Parent,BH,21,1,1,0,NA,NA,0,0
C_22_A,C,22,A,532,Parent,TM2,62,1,0,NA,NA,NA,0,0
C_23_A,C,23,A,469,Parent,WV,20,1,0,NA,NA,NA,0,0
