unique.ID,height_at_flw,flower.date
WL2_7_9,26.9,2024-06-18
WL2_7_10,18.3,2024-06-18
YO7_7_23,13.8,2024-06-18
YO7_7_13,13.4,2024-06-18
WL2_1_11,16.7,2024-06-18
YO7_1_4,15,2024-06-18
YO7_1_3,5,2024-06-18
YO7_4_11,16.6,2024-06-18
YO7_4_1,8.9,2024-06-18
YO7_4_3,11.5,2024-06-25
WL2_8_4,11.1,2024-06-25
YO7_6_15,9,2024-06-25
YO7_7_9,7,2024-06-25
YO7_6_9,13.1,2024-06-25
YO7_1_2,14.5,2024-06-25
YO7_5_13,11.9,2024-06-25
IH_7_4,60.4,2024-07-09
BH_3_4,53.5,2024-07-09
BH_7_4,43,2024-07-09
CC_1_3,43.9,2024-07-09
SC_8_3,46.8,2024-07-09
IH_3_5,34.9,2024-07-09
IH_6_5,40.1,2024-07-09
SC_6_15,76.1,2024-07-09
YO7_4_6,23.1,2024-07-09
BH_7_7,60.1,2024-07-09
BH_4_7,28.4,2024-07-09
SC_4_8,46.5,2024-07-09
YO7_5_7,10.4,2024-07-09
SC_6_13,16.7,2024-07-09
CC_1_2,10.2,2024-07-09
IH_2_4,77.5,2024-07-16
IH_6_4,65.5,2024-07-16
TM2_1_3,66,2024-07-16
BH_1_7,31.5,2024-07-16
TM2_4_12,49.8,2024-07-16
CC_4_9,33.5,2024-07-16
IH_1_8,52.8,2024-07-16
WR_3_2,45.5,2024-07-16
SC_4_10,49.9,2024-07-16
BH_4_11,63,2024-07-16
IH_5_10,51.6,2024-07-16
BH_4_10,58.5,2024-07-16
IH_5_11,23.4,2024-07-16
IH_1_12,24.1,2024-07-16
CC_3_11,32,2024-07-16
BH_7_13,28,2024-07-16
IH_2_12,43.3,2024-07-16
BH_4_12,61.5,2024-07-16
SQ1_5_10,38.9,2024-07-23
IH_1_4,52.7,2024-07-23
SC_2_19,35.5,2024-07-23
IH_2_7,26.7,2024-07-23
SC_5_6,13.2,2024-07-23
TM2_7_18,27.3,2024-07-23
SC_8_15,44,2024-07-23
IH_4_10,51.4,2024-07-23
IH_1_10,53.1,2024-07-23
CC_8_11,22,2024-07-23
SC_2_23,33.7,2024-07-23
IH_6_13,23.3,2024-07-23
IH_5_2,25.5,2024-07-23
IH_5_9,44.5,2024-07-30
IH_3_11,64.7,2024-07-30
SC_5_11,43,2024-07-30
