block,bed,row,col,Unique.ID,Pop.Type,pop.id,mf,dame_mf,sire_mf,rep,FruitsY1,Establishment,Y1Surv,WintSurv,LifeHistory,SurvtoBud,FruitsY2,TotalFruit,ProbFruit,TotalFitness
A,C,4,A,2566,F2,(WV x WL2) x (WL2 x BH),2_2,2,2,7,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,4,B,2595,F2,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,23,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,5,A,2642,Parent,TM2,NA,NA,NA,87,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,6,A,2509,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,1,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,6,B,2549,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,7,A,2452,F2,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,8,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,7,B,2095,F2,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,4,NA,1,1,1,Non-Rep,0,NA,0,0,0
A,C,8,A,2291,F2,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,NA,1,1,1,Non-Rep,0,NA,0,0,0
A,C,8,B,2252,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,14,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,9,B,2634,Parent,TM2,8,8,NA,63,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,10,A,2466,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,8,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,10,B,2302,F2,(WL2 x WV) x (CC x WL2),1_1,1,1,7,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,11,A,2338,F2,(WV x TM2) x (TM2 x WL2),2_1,2,1,7,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,12,A,2326,F2,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,11,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,12,B,1819,Parent,WL1,13,13,NA,17,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,13,A,2520,F2,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,NA,0,NA,NA,Non-Rep,NA,NA,0,0,0
A,C,13,B,2591,F2,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,14,A,2150,F2,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,22,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,14,B,1915,Parent,WL2,10,10,NA,92,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,15,A,2472,F2,(WV x WL2) x (WL2 x CC),3_1,3,1,11,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,15,B,1981,F1,LV1 x WL2,14_8,14,8,4,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,16,A,2023,F1,WL2 x LV1,2-A_14-A,2-A,14-A,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,16,B,1908,Parent,WL2,9,9,NA,85,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,17,A,1787,Parent,TM2,12,12,NA,83,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,17,B,2274,F2,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,36,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,18,A,2090,F2,(LV1 x WL2) x (WL2),6_16-A,6,16-A,4,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
A,C,18,B,1883,Parent,WL2,6,6,NA,60,NA,1,1,0,Non-Rep,NA,NA,0,0,0
A,C,19,A,2063,F2,(CC x WL2) x (WL2),4_13-B,4,13-B,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,19,B,2236,F2,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,6,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,20,A,2592,F2,(DPR x TM2) x (TM2 x WL2),3_2,3,2,5,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,20,B,2213,F2,(WL2 x BH) x (WL2 x CC),2_3,2,3,22,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,21,A,2370,F2,(WV x WL2) x (WV),20_7-3,20,3-Jul,3,NA,1,0,NA,Non-Rep,NA,NA,0,0,0
B,C,22,A,2638,Parent,TM2,9,9,NA,70,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,23,A,2489,F1,WL2 x DPR,NA,NA,NA,2,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,23,B,2564,F2,(WV x WL2) x (WL2 x BH),2_2,2,2,6,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,25,A,2505,F2,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,3,NA,1,1,0,Non-Rep,NA,NA,0,0,0
B,C,26,A,2602,F2,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,27,NA,1,1,0,Non-Rep,NA,NA,0,0,0
