Unique.ID,height_at_flw,flower.date
698,33.5,2025-06-27
118,18,2025-06-27
341,34.2,2025-06-27
183,12.3,2025-06-27
714,15.9,2025-06-27
1156,24.5,2025-06-27
1085,24.7,2025-06-27
1107,25.2,2025-06-27
141,12,2025-06-27
1280,14.5,2025-06-27
246,38.3,2025-06-27
895,9.1,2025-06-27
1327,26.5,2025-06-27
144,17.4,2025-06-27
53,17.5,2025-06-27
363,25.6,2025-06-27
372,31.5,2025-06-27
95,30.9,2025-06-27
1193,25.3,2025-06-27
1406,26.1,2025-06-27
1490,29.1,2025-06-27
79,29.7,2025-06-27
1463,19.5,2025-06-27
706,25.2,2025-06-27
238,23,2025-06-27
1447,30,2025-06-27
1250,19.5,2025-06-27
1289,18.9,2025-07-18
404,48.5,2025-07-18
394,25.4,2025-07-18
2320,6.8,2025-07-18
1760,29.1,2025-07-18
522,24.5,2025-07-18
2283,25.2,2025-07-18
2340,26.2,2025-07-18
2273,29.6,2025-07-18
2259,25.1,2025-07-18
2341,23.2,2025-07-18
2335,43.1,2025-07-18
1776,20.6,2025-07-18
1732,28.1,2025-07-18
391,17.2,2025-07-18
1795,15,2025-07-25
2646,15.8,2025-07-25
2570,28.1,2025-07-25
2334,18.4,2025-08-01
2165,18.6,2025-08-07
2468,22,2025-08-07
2184,17.9,2025-08-07
2465,10.6,2025-08-07
2392,27.2,2025-08-21
539,10.8,2025-08-28
1766,27.5,2025-09-11
1768,25.7,2025-09-24
